jobsat,ai_use,remote3,country,workexp,devgroup,yourchoice,year,ai_freq
7.0,1.0,Hybrid,Sweden,9.0,Developer,0,2025,3.0
9.0,0.0,In-person,Czech Republic,13.0,Developer,0,2025,
8.0,0.0,Remote,Germany,3.0,Developer,0,2025,
8.0,1.0,Hybrid,United States of America,10.0,Developer,0,2025,2.0
8.0,1.0,Hybrid,United Kingdom of Great Britain and Northern Ireland,36.0,Manager,0,2025,3.0
8.0,1.0,Remote,Canada,15.0,Developer,1,2025,1.0
10.0,0.0,Remote,United States of America,12.0,Developer,1,2025,
10.0,1.0,Hybrid,Belgium,9.0,Developer,0,2025,3.0
9.0,1.0,Remote,United States of America,15.0,Developer,1,2025,2.0
10.0,1.0,Hybrid,Brazil,15.0,Other,0,2025,3.0
7.0,1.0,Remote,Italy,15.0,Developer,0,2025,3.0
10.0,1.0,In-person,France,2.0,Developer,0,2025,3.0
7.0,1.0,In-person,Spain,2.0,Developer,0,2025,1.0
9.0,1.0,Hybrid,Argentina,6.0,Developer,0,2025,3.0
8.0,1.0,Hybrid,Hungary,38.0,Developer,0,2025,2.0
6.0,1.0,Hybrid,United Kingdom of Great Britain and Northern Ireland,6.0,Developer,0,2025,3.0
10.0,1.0,Remote,Russian Federation,25.0,Developer,0,2025,2.0
8.0,0.0,Remote,Belgium,33.0,Developer,0,2025,
2.0,1.0,In-person,Bangladesh,3.0,Developer,0,2025,3.0
10.0,1.0,Remote,Germany,26.0,Developer,1,2025,3.0
6.0,0.0,Hybrid,United States of America,25.0,Developer,0,2025,
9.0,0.0,Remote,Canada,15.0,Developer,0,2025,
8.0,1.0,Remote,Italy,17.0,Developer,0,2025,3.0
8.0,1.0,Remote,Canada,10.0,Developer,0,2025,3.0
5.0,0.0,In-person,Germany,25.0,Developer,0,2025,
7.0,1.0,Hybrid,Norway,21.0,Developer,0,2025,3.0
5.0,1.0,Remote,United States of America,30.0,Developer,0,2025,2.0
8.0,1.0,Hybrid,United States of America,6.0,Developer,0,2025,1.0
2.0,1.0,Hybrid,United States of America,10.0,Developer,0,2025,3.0
10.0,1.0,Hybrid,United Kingdom of Great Britain and Northern Ireland,7.0,Other,0,2025,2.0
7.0,1.0,Remote,Sweden,9.0,Developer,0,2025,2.0
8.0,1.0,Hybrid,Spain,4.0,Data/ML,0,2025,3.0
10.0,1.0,Remote,United States of America,45.0,Developer,1,2025,2.0
2.0,1.0,Remote,Canada,22.0,Developer,0,2025,3.0
8.0,1.0,Remote,Canada,16.0,Developer,0,2025,3.0
4.0,1.0,Hybrid,Switzerland,8.0,Developer,0,2025,3.0
8.0,1.0,Remote,Spain,7.0,Developer,0,2025,3.0
5.0,1.0,Remote,United States of America,20.0,Other,0,2025,1.0
7.0,1.0,Hybrid,Netherlands,13.0,Developer,0,2025,2.0
4.0,0.0,In-person,United States of America,3.0,Developer,0,2025,
10.0,1.0,Remote,United States of America,25.0,Developer,0,2025,3.0
7.0,0.0,Remote,Italy,3.0,Developer,0,2025,
9.0,1.0,Hybrid,India,4.0,Developer,0,2025,1.0
9.0,1.0,Remote,Hungary,10.0,Developer,1,2025,3.0
10.0,1.0,Hybrid,United States of America,2.0,Developer,0,2025,1.0
8.0,1.0,Remote,Norway,1.0,Data/ML,1,2025,3.0
10.0,1.0,Hybrid,Canada,18.0,Other,0,2025,3.0
9.0,0.0,In-person,France,3.0,Developer,0,2025,
8.0,0.0,Remote,United States of America,38.0,Developer,1,2025,
7.0,0.0,Hybrid,Germany,8.0,Developer,0,2025,
8.0,1.0,Remote,Switzerland,7.0,Developer,1,2025,3.0
8.0,1.0,Hybrid,United States of America,36.0,Developer,0,2025,2.0
5.0,1.0,Remote,United States of America,15.0,Developer,0,2025,3.0
9.0,1.0,Remote,France,30.0,Developer,0,2025,3.0
5.0,1.0,Hybrid,Poland,15.0,Developer,0,2025,1.0
9.0,0.0,Hybrid,Italy,2.0,Developer,0,2025,
5.0,0.0,Remote,Germany,6.0,Developer,0,2025,
7.0,0.0,Remote,United States of America,15.0,Developer,0,2025,
9.0,1.0,Remote,Portugal,10.0,Developer,0,2025,3.0
9.0,1.0,Remote,United Kingdom of Great Britain and Northern Ireland,11.0,Developer,0,2025,3.0
7.0,0.0,Remote,Austria,1.0,Developer,1,2025,
8.0,1.0,Remote,Norway,6.0,Developer,0,2025,3.0
7.0,1.0,Hybrid,Italy,39.0,Developer,0,2025,3.0
8.0,1.0,Hybrid,Germany,11.0,Developer,0,2025,1.0
7.0,1.0,Remote,Belgium,21.0,Other,0,2025,3.0
3.0,1.0,Remote,Greece,3.0,Developer,1,2025,1.0
7.0,0.0,Hybrid,Canada,3.0,Developer,0,2025,
10.0,1.0,Remote,Sweden,26.0,Developer,1,2025,2.0
6.0,1.0,Remote,Canada,30.0,Manager,0,2025,3.0
7.0,0.0,Remote,United Kingdom of Great Britain and Northern Ireland,25.0,Developer,1,2025,
10.0,1.0,In-person,Germany,12.0,Developer,0,2025,3.0
7.0,1.0,Remote,Netherlands,2.0,Other,1,2025,3.0
7.0,0.0,Hybrid,Canada,20.0,Developer,0,2025,
6.0,1.0,In-person,Ukraine,4.0,Developer,0,2025,2.0
8.0,1.0,Remote,Italy,10.0,Other,0,2025,3.0
6.0,1.0,Remote,United Kingdom of Great Britain and Northern Ireland,20.0,Developer,0,2025,1.0
9.0,1.0,Hybrid,Portugal,20.0,Developer,0,2025,3.0
8.0,1.0,Remote,United States of America,25.0,Developer,0,2025,3.0
5.0,0.0,Remote,China,10.0,Developer,0,2025,
8.0,1.0,Remote,Spain,4.0,Other,1,2025,3.0
9.0,0.0,Remote,United States of America,25.0,Developer,0,2025,
7.0,1.0,Hybrid,Austria,1.0,Research,0,2025,2.0
10.0,1.0,Remote,Brazil,4.0,Developer,0,2025,3.0
9.0,1.0,Remote,Germany,12.0,Developer,0,2025,2.0
7.0,1.0,Remote,United States of America,6.0,Developer,0,2025,1.0
7.0,0.0,Remote,Ukraine,4.0,Developer,1,2025,
6.0,1.0,In-person,United States of America,2.0,Developer,0,2025,3.0
7.0,1.0,Hybrid,United States of America,17.0,Developer,0,2025,2.0
8.0,1.0,Remote,Argentina,8.0,Developer,0,2025,3.0
10.0,1.0,Remote,Ukraine,5.0,Developer,0,2025,3.0
2.0,1.0,Hybrid,Germany,5.0,DevOps/Infra,0,2025,1.0
8.0,1.0,Remote,United Kingdom of Great Britain and Northern Ireland,1.0,Developer,0,2025,2.0
7.0,1.0,Remote,Switzerland,21.0,Developer,0,2025,2.0
8.0,1.0,Remote,Canada,13.0,Developer,0,2025,3.0
7.0,1.0,Hybrid,Portugal,1.0,Developer,0,2025,3.0
7.0,1.0,Remote,Argentina,6.0,Developer,0,2025,2.0
9.0,1.0,Hybrid,Netherlands,21.0,Developer,0,2025,3.0
9.0,1.0,Remote,United States of America,14.0,Developer,0,2025,3.0
10.0,1.0,Remote,Hungary,15.0,Developer,0,2025,3.0
10.0,1.0,Hybrid,United States of America,25.0,Developer,0,2025,3.0
8.0,0.0,Hybrid,Spain,12.0,Developer,0,2025,
1.0,1.0,Remote,Germany,25.0,Developer,0,2025,3.0
8.0,1.0,Remote,United States of America,15.0,Developer,0,2025,3.0
8.0,1.0,Remote,United Kingdom of Great Britain and Northern Ireland,13.0,Developer,0,2025,2.0
9.0,1.0,Remote,Colombia,13.0,Developer,0,2025,3.0
5.0,1.0,Remote,United States of America,9.0,Other,0,2025,1.0
10.0,1.0,Remote,India,22.0,Other,0,2025,3.0
8.0,1.0,Remote,Israel,25.0,Research,1,2025,3.0
8.0,0.0,Hybrid,Germany,8.0,Developer,0,2025,
5.0,1.0,Hybrid,Germany,12.0,Developer,0,2025,3.0
8.0,1.0,Hybrid,Ireland,28.0,Developer,0,2025,3.0
9.0,1.0,Remote,United States of America,24.0,Developer,0,2025,1.0
6.0,0.0,In-person,United States of America,8.0,Data/ML,0,2025,
10.0,1.0,Remote,Bulgaria,13.0,Developer,0,2025,3.0
10.0,1.0,Remote,Netherlands,12.0,Developer,1,2025,2.0
10.0,1.0,Hybrid,Canada,10.0,Manager,0,2025,3.0
3.0,0.0,Remote,United States of America,20.0,Developer,0,2025,
6.0,1.0,Hybrid,Sweden,20.0,Other,0,2025,2.0
6.0,1.0,Hybrid,India,13.0,Developer,0,2025,3.0
4.0,1.0,Remote,Spain,12.0,Developer,0,2025,3.0
5.0,1.0,Remote,United States of America,38.0,Developer,0,2025,2.0
10.0,0.0,Remote,United States of America,11.0,Developer,0,2025,
7.0,0.0,Remote,France,15.0,Developer,0,2025,
8.0,1.0,Hybrid,Canada,16.0,Developer,0,2025,1.0
8.0,1.0,Remote,Poland,13.0,Developer,1,2025,3.0
8.0,1.0,In-person,Mexico,5.0,Developer,0,2025,3.0
7.0,1.0,Hybrid,United Kingdom of Great Britain and Northern Ireland,20.0,Other,0,2025,1.0
7.0,1.0,Hybrid,Turkey,10.0,Developer,0,2025,3.0
8.0,0.0,Remote,Czech Republic,17.0,Developer,0,2025,
2.0,0.0,Hybrid,United Kingdom of Great Britain and Northern Ireland,15.0,Developer,0,2025,
8.0,1.0,Remote,Brazil,25.0,Developer,0,2025,3.0
7.0,1.0,Hybrid,France,2.0,Developer,0,2025,3.0
7.0,0.0,Hybrid,United Kingdom of Great Britain and Northern Ireland,3.0,Developer,0,2025,
4.0,1.0,In-person,United States of America,4.0,Developer,0,2025,1.0
7.0,1.0,Remote,United States of America,1.0,Developer,0,2025,2.0
5.0,1.0,Hybrid,Spain,25.0,Developer,0,2025,3.0
9.0,1.0,Remote,United States of America,22.0,Developer,0,2025,2.0
7.0,1.0,Hybrid,United Kingdom of Great Britain and Northern Ireland,21.0,Developer,0,2025,3.0
10.0,1.0,Hybrid,United States of America,29.0,Developer,0,2025,3.0
9.0,1.0,Remote,Brazil,13.0,Developer,0,2025,2.0
10.0,0.0,Remote,Spain,10.0,Developer,0,2025,
7.0,1.0,Remote,Sweden,20.0,Developer,0,2025,3.0
7.0,1.0,In-person,United States of America,40.0,Other,0,2025,3.0
7.0,1.0,Remote,Greece,17.0,Developer,0,2025,3.0
9.0,1.0,Remote,United Kingdom of Great Britain and Northern Ireland,20.0,Developer,0,2025,3.0
9.0,1.0,Remote,United States of America,27.0,Manager,0,2025,3.0
8.0,1.0,Remote,Ireland,13.0,Developer,0,2025,3.0
7.0,1.0,Hybrid,Netherlands,3.0,DevOps/Infra,0,2025,3.0
10.0,1.0,Remote,United States of America,13.0,Developer,0,2025,2.0
6.0,1.0,Hybrid,Canada,23.0,Other,0,2025,2.0
4.0,0.0,Remote,Italy,30.0,Developer,1,2025,
7.0,1.0,Hybrid,Switzerland,21.0,Other,0,2025,2.0
5.0,1.0,Hybrid,Japan,10.0,Developer,0,2025,1.0
6.0,1.0,Hybrid,Germany,28.0,Developer,0,2025,3.0
10.0,1.0,Remote,Ukraine,15.0,Other,0,2025,1.0
8.0,1.0,Remote,Canada,2.0,Developer,0,2025,2.0
0.0,0.0,Remote,Canada,8.0,Developer,0,2025,
7.0,1.0,Hybrid,Pakistan,6.0,Developer,0,2025,3.0
8.0,1.0,Hybrid,Italy,9.0,Developer,0,2025,3.0
9.0,1.0,Hybrid,France,3.0,Developer,0,2025,3.0
8.0,1.0,Remote,France,14.0,Other,1,2025,3.0
7.0,0.0,Remote,United States of America,6.0,Developer,0,2025,
10.0,1.0,Hybrid,Germany,4.0,Developer,0,2025,3.0
7.0,1.0,Hybrid,Canada,2.0,Developer,0,2025,2.0
6.0,1.0,Hybrid,Israel,20.0,Developer,0,2025,3.0
8.0,1.0,Remote,United Kingdom of Great Britain and Northern Ireland,24.0,Developer,0,2025,3.0
8.0,1.0,Remote,United States of America,8.0,Developer,0,2025,1.0
6.0,0.0,Remote,Netherlands,15.0,Other,1,2025,
8.0,1.0,Remote,India,11.0,Developer,0,2025,3.0
8.0,0.0,Remote,Brazil,16.0,Other,1,2025,
7.0,1.0,Hybrid,United States of America,3.0,Developer,0,2025,2.0
10.0,0.0,Remote,Germany,15.0,Developer,1,2025,
10.0,1.0,Hybrid,South Africa,15.0,Data/ML,0,2025,3.0
8.0,1.0,Remote,Canada,25.0,Other,0,2025,3.0
10.0,1.0,Remote,United Kingdom of Great Britain and Northern Ireland,43.0,Developer,0,2025,3.0
9.0,1.0,Hybrid,Belgium,20.0,Developer,0,2025,3.0
10.0,0.0,Hybrid,India,10.0,Manager,0,2025,
5.0,0.0,Hybrid,Germany,6.0,Developer,0,2025,
7.0,1.0,Hybrid,Germany,12.0,Developer,0,2025,2.0
6.0,1.0,Remote,Bulgaria,25.0,Developer,0,2025,2.0
7.0,0.0,In-person,United States of America,38.0,Developer,0,2025,
4.0,1.0,In-person,United States of America,20.0,Developer,0,2025,2.0
10.0,1.0,Remote,United States of America,8.0,Developer,0,2025,2.0
1.0,1.0,In-person,India,3.0,Data/ML,0,2025,2.0
9.0,1.0,Remote,United Kingdom of Great Britain and Northern Ireland,11.0,Developer,0,2025,3.0
6.0,1.0,Hybrid,Germany,3.0,Developer,0,2025,3.0
6.0,0.0,Hybrid,United States of America,11.0,Developer,0,2025,
9.0,1.0,Hybrid,Sweden,29.0,Developer,0,2025,1.0
7.0,1.0,Hybrid,United States of America,13.0,Developer,0,2025,3.0
7.0,0.0,Hybrid,United States of America,8.0,Other,0,2025,
9.0,1.0,Remote,United States of America,10.0,Developer,0,2025,3.0
9.0,1.0,In-person,Turkey,7.0,Developer,0,2025,3.0
7.0,1.0,Remote,United States of America,15.0,Developer,0,2025,1.0
4.0,0.0,Remote,United States of America,30.0,Developer,1,2025,
3.0,1.0,Hybrid,India,9.0,Developer,0,2025,3.0
9.0,1.0,Remote,United Kingdom of Great Britain and Northern Ireland,2.0,Developer,0,2025,3.0
5.0,1.0,Hybrid,United States of America,14.0,Developer,0,2025,1.0
4.0,1.0,Remote,Canada,7.0,Developer,0,2025,2.0
2.0,0.0,Remote,Germany,13.0,Developer,1,2025,
3.0,1.0,Remote,Germany,10.0,Developer,1,2025,3.0
9.0,1.0,Remote,Canada,38.0,Developer,1,2025,2.0
7.0,1.0,Hybrid,Germany,17.0,Developer,0,2025,2.0
8.0,1.0,Remote,Ireland,28.0,DevOps/Infra,1,2025,3.0
8.0,1.0,Remote,United States of America,25.0,Manager,0,2025,1.0
8.0,1.0,Hybrid,United States of America,14.0,Developer,0,2025,3.0
7.0,1.0,Remote,Spain,11.0,Developer,0,2025,3.0
10.0,1.0,Remote,United States of America,22.0,Manager,0,2025,3.0
6.0,1.0,Remote,Portugal,15.0,Developer,0,2025,3.0
6.0,1.0,Remote,United States of America,6.0,Developer,0,2025,1.0
6.0,1.0,Remote,Germany,6.0,Developer,0,2025,2.0
7.0,0.0,Remote,United Kingdom of Great Britain and Northern Ireland,7.0,Developer,0,2025,
10.0,1.0,Hybrid,Russian Federation,12.0,DevOps/Infra,0,2025,3.0
7.0,1.0,Remote,Canada,30.0,Developer,0,2025,3.0
10.0,1.0,Remote,India,12.0,Developer,0,2025,3.0
6.0,1.0,Remote,United States of America,20.0,Developer,0,2025,3.0
6.0,1.0,Remote,Germany,17.0,Developer,1,2025,3.0
7.0,1.0,Remote,Canada,8.0,Developer,0,2025,2.0
8.0,1.0,Hybrid,United States of America,46.0,Other,0,2025,2.0
8.0,1.0,Remote,Ireland,20.0,Other,0,2025,3.0
9.0,1.0,Remote,Italy,49.0,Other,1,2025,1.0
7.0,1.0,Remote,United States of America,5.0,Developer,0,2025,3.0
5.0,1.0,Remote,United States of America,10.0,Developer,0,2025,3.0
10.0,1.0,Remote,China,3.0,Developer,0,2025,3.0
10.0,1.0,Remote,Bangladesh,19.0,Developer,0,2025,3.0
8.0,1.0,Hybrid,United States of America,26.0,Developer,0,2025,3.0
5.0,1.0,Remote,Turkey,3.0,Developer,0,2025,3.0
10.0,1.0,Hybrid,United States of America,9.0,Data/ML,0,2025,3.0
8.0,0.0,Hybrid,Germany,1.0,Developer,0,2025,
3.0,0.0,Remote,France,25.0,Developer,0,2025,
5.0,1.0,Hybrid,United Kingdom of Great Britain and Northern Ireland,14.0,Developer,0,2025,3.0
6.0,1.0,In-person,Canada,3.0,Data/ML,0,2025,2.0
3.0,1.0,Hybrid,Italy,8.0,Developer,0,2025,3.0
9.0,1.0,Remote,Portugal,23.0,Other,0,2025,2.0
3.0,1.0,In-person,Portugal,3.0,Developer,0,2025,2.0
9.0,1.0,Hybrid,Germany,12.0,Developer,0,2025,1.0
5.0,1.0,Hybrid,Germany,3.0,Developer,0,2025,2.0
6.0,1.0,Hybrid,Russian Federation,10.0,Developer,0,2025,3.0
6.0,1.0,In-person,United States of America,6.0,Developer,0,2025,3.0
8.0,1.0,Hybrid,Czech Republic,7.0,Other,0,2025,3.0
3.0,1.0,Remote,Turkey,12.0,Developer,0,2025,3.0
3.0,1.0,Remote,Sweden,12.0,DevOps/Infra,1,2025,2.0
5.0,1.0,Hybrid,Argentina,1.0,Student,0,2025,2.0
7.0,0.0,Hybrid,United States of America,12.0,Other,0,2025,
10.0,1.0,Remote,United States of America,30.0,Other,0,2025,3.0
10.0,1.0,Remote,Finland,8.0,Developer,0,2025,2.0
9.0,1.0,Remote,United States of America,35.0,Developer,0,2025,3.0
8.0,1.0,Remote,Netherlands,35.0,Other,1,2025,3.0
7.0,0.0,Remote,Italy,7.0,Developer,1,2025,
6.0,1.0,Hybrid,United States of America,15.0,Other,0,2025,2.0
6.0,0.0,Hybrid,Russian Federation,5.0,Developer,0,2025,
8.0,1.0,Remote,United States of America,40.0,Other,0,2025,3.0
8.0,1.0,In-person,United States of America,9.0,Developer,0,2025,3.0
8.0,0.0,Hybrid,Sweden,25.0,Developer,0,2025,
7.0,0.0,Hybrid,United Kingdom of Great Britain and Northern Ireland,12.0,Developer,0,2025,
7.0,1.0,Remote,Germany,11.0,Developer,0,2025,3.0
7.0,1.0,Remote,Germany,33.0,Developer,0,2025,1.0
4.0,1.0,Remote,Brazil,4.0,Other,0,2025,2.0
9.0,1.0,Remote,United States of America,21.0,Manager,0,2025,3.0
10.0,1.0,Remote,Netherlands,9.0,Other,1,2025,1.0
9.0,0.0,Remote,United States of America,8.0,Developer,1,2025,
6.0,0.0,Hybrid,Switzerland,3.0,Developer,0,2025,
9.0,1.0,Remote,United Kingdom of Great Britain and Northern Ireland,18.0,Other,0,2025,2.0
8.0,1.0,Remote,United States of America,24.0,Developer,0,2025,3.0
7.0,1.0,Remote,United States of America,20.0,Data/ML,1,2025,3.0
5.0,0.0,Remote,Brazil,30.0,Data/ML,1,2025,
10.0,1.0,In-person,Germany,1.0,Developer,0,2025,2.0
7.0,1.0,Remote,Turkey,1.0,Developer,0,2025,3.0
7.0,1.0,Remote,Bulgaria,7.0,Developer,1,2025,2.0
8.0,1.0,Hybrid,Germany,7.0,Other,0,2025,3.0
2.0,1.0,Remote,Canada,18.0,Data/ML,0,2025,3.0
3.0,0.0,Remote,United States of America,9.0,Developer,0,2025,
7.0,1.0,Remote,Czech Republic,13.0,Developer,0,2025,3.0
8.0,1.0,Remote,Sweden,15.0,DevOps/Infra,0,2025,3.0
8.0,1.0,Hybrid,United Kingdom of Great Britain and Northern Ireland,10.0,Developer,0,2025,3.0
7.0,0.0,Remote,United States of America,12.0,Developer,0,2025,
9.0,1.0,Remote,Canada,30.0,Developer,0,2025,3.0
7.0,1.0,Hybrid,United States of America,8.0,Other,0,2025,3.0
10.0,1.0,Hybrid,France,3.0,Other,0,2025,1.0
8.0,0.0,Remote,United States of America,23.0,Developer,0,2025,
1.0,1.0,Hybrid,Canada,10.0,Data/ML,0,2025,3.0
7.0,1.0,Hybrid,Switzerland,26.0,Other,0,2025,3.0
7.0,1.0,Remote,China,5.0,Student,1,2025,3.0
10.0,0.0,Hybrid,United States of America,42.0,Developer,0,2025,
6.0,1.0,Remote,United States of America,8.0,Developer,0,2025,1.0
9.0,1.0,Remote,United States of America,6.0,Manager,0,2025,3.0
7.0,1.0,Remote,Germany,13.0,Data/ML,0,2025,3.0
5.0,1.0,Remote,Romania,7.0,Other,1,2025,3.0
8.0,1.0,Hybrid,India,2.0,Developer,0,2025,3.0
8.0,0.0,Remote,United Kingdom of Great Britain and Northern Ireland,3.0,Developer,0,2025,
0.0,0.0,Hybrid,Bulgaria,7.0,Developer,0,2025,
8.0,1.0,Hybrid,Germany,21.0,Other,0,2025,3.0
6.0,0.0,In-person,Germany,1.0,Developer,0,2025,
9.0,1.0,Hybrid,Sweden,11.0,Developer,0,2025,3.0
5.0,0.0,Hybrid,United States of America,22.0,Data/ML,0,2025,
8.0,0.0,Remote,Mexico,9.0,Developer,0,2025,
6.0,0.0,Remote,Canada,10.0,Developer,0,2025,
4.0,1.0,In-person,Norway,11.0,Developer,0,2025,3.0
5.0,1.0,Remote,Netherlands,2.0,Other,1,2025,3.0
8.0,1.0,Remote,"Iran, Islamic Republic of...",20.0,Developer,0,2025,2.0
6.0,0.0,Remote,United Kingdom of Great Britain and Northern Ireland,10.0,Developer,1,2025,
8.0,1.0,Hybrid,Denmark,21.0,Data/ML,0,2025,3.0
8.0,1.0,Hybrid,Canada,4.0,Developer,0,2025,3.0
8.0,1.0,In-person,United States of America,6.0,Developer,0,2025,2.0
8.0,1.0,Remote,Spain,9.0,Developer,0,2025,3.0
10.0,1.0,Remote,Spain,15.0,Other,0,2025,1.0
8.0,1.0,Hybrid,Belgium,16.0,Developer,0,2025,2.0
7.0,1.0,Remote,Portugal,12.0,Developer,0,2025,3.0
6.0,1.0,Remote,Brazil,4.0,Developer,0,2025,2.0
6.0,1.0,Hybrid,United Kingdom of Great Britain and Northern Ireland,18.0,Developer,0,2025,1.0
9.0,1.0,Remote,United States of America,11.0,DevOps/Infra,1,2025,3.0
7.0,0.0,Hybrid,Italy,38.0,Other,0,2025,
8.0,1.0,Hybrid,Switzerland,25.0,Data/ML,0,2025,3.0
10.0,1.0,Remote,Spain,12.0,Other,1,2025,3.0
4.0,1.0,In-person,Italy,5.0,Developer,0,2025,1.0
7.0,1.0,Hybrid,France,5.0,Developer,0,2025,2.0
8.0,1.0,Hybrid,United Kingdom of Great Britain and Northern Ireland,18.0,Other,0,2025,3.0
7.0,0.0,Remote,United States of America,7.0,Developer,0,2025,
8.0,0.0,Hybrid,Germany,20.0,Developer,0,2025,
10.0,1.0,Remote,Bulgaria,12.0,Other,0,2025,3.0
8.0,1.0,Hybrid,Germany,30.0,Data/ML,0,2025,3.0
9.0,1.0,Remote,United States of America,25.0,Developer,0,2025,3.0
10.0,0.0,In-person,United Kingdom of Great Britain and Northern Ireland,50.0,Developer,0,2025,
7.0,1.0,Remote,United States of America,19.0,Other,0,2025,3.0
6.0,0.0,Remote,Canada,7.0,Developer,1,2025,
10.0,1.0,Remote,United States of America,20.0,Developer,0,2025,3.0
5.0,1.0,Remote,Hungary,25.0,Developer,0,2025,3.0
10.0,0.0,Hybrid,Germany,42.0,Other,0,2025,
10.0,1.0,Remote,United States of America,35.0,Other,0,2025,3.0
8.0,0.0,Remote,United States of America,13.0,DevOps/Infra,0,2025,
9.0,1.0,In-person,Portugal,38.0,Other,0,2025,2.0
9.0,1.0,Remote,Sweden,13.0,Developer,0,2025,3.0
10.0,1.0,Remote,United States of America,5.0,Developer,0,2025,2.0
10.0,1.0,In-person,United States of America,3.0,Student,0,2025,2.0
9.0,1.0,Remote,Portugal,2.0,Developer,1,2025,3.0
8.0,1.0,Remote,India,17.0,Developer,0,2025,3.0
1.0,1.0,Remote,Germany,35.0,Developer,1,2025,1.0
7.0,1.0,Remote,United States of America,10.0,Manager,0,2025,3.0
8.0,1.0,In-person,Canada,15.0,Developer,0,2025,3.0
8.0,0.0,Remote,Switzerland,12.0,DevOps/Infra,1,2025,
5.0,1.0,In-person,Canada,25.0,Other,0,2025,3.0
7.0,1.0,Remote,United States of America,22.0,Developer,0,2025,3.0
9.0,0.0,Remote,Germany,45.0,Developer,1,2025,
9.0,1.0,Hybrid,Austria,25.0,Developer,0,2025,3.0
10.0,1.0,Remote,United States of America,25.0,Other,0,2025,2.0
8.0,1.0,Remote,Austria,10.0,Developer,1,2025,3.0
9.0,1.0,Remote,United States of America,10.0,Data/ML,0,2025,3.0
10.0,1.0,Remote,United States of America,25.0,Other,0,2025,3.0
5.0,1.0,Hybrid,United Kingdom of Great Britain and Northern Ireland,12.0,Developer,0,2025,2.0
10.0,1.0,Remote,United States of America,23.0,Other,0,2025,3.0
8.0,1.0,Remote,Portugal,8.0,Developer,0,2025,1.0
8.0,1.0,Hybrid,Germany,7.0,Developer,0,2025,3.0
5.0,1.0,Hybrid,United States of America,10.0,Data/ML,0,2025,1.0
6.0,0.0,In-person,Sweden,25.0,Other,0,2025,
8.0,1.0,Remote,Romania,6.0,Developer,0,2025,3.0
7.0,1.0,Remote,Netherlands,10.0,Developer,0,2025,3.0
